subject_left_out,model,accuracy,macro_f1,kappa
8,SVM-linear,0.6133333333333333,0.583732057416268,0.21109902067464636
8,SVM-rbf,0.7066666666666667,0.7061965811965811,0.41239316239316237
9,LogReg,0.569620253164557,0.3884335154826958,0.008124076809453595
9,RF,0.7341772151898734,0.7018867924528303,0.4269430051813471
9,SVM-linear,0.569620253164557,0.3884335154826958,0.008124076809453595
9,SVM-rbf,0.6962025316455697,0.6409090909090909,0.3323943661971831
10,LogReg,0.7164179104477612,0.6943577430972389,0.38886221795487286
10,RF,0.7014925373134329,0.6689723320158103,0.34055118110236215
10,SVM-linear,0.6716417910447762,0.6079787234042554,0.23626943005181344
10,SVM-rbf,0.746268656716418,0.7012850773669027,0.41499743194658456
11,LogReg,0.6027397260273972,0.6024413145539906,0.21213248976553778
11,RF,0.4383561643835616,0.42761522279594577,-0.07084078711985686
11,SVM-linear,0.6438356164383562,0.642156862745098,0.28646616541353387
11,SVM-rbf,0.6164383561643836,0.6146304675716441,0.2315789473684211
12,LogReg,0.5,0.4505494505494505,-0.0869565217391306
12,RF,0.6,0.37499999999999994,0.0
12,SVM-linear,0.55,0.4357366771159875,-0.04651162790697683
12,SVM-rbf,0.5,0.33333333333333337,-0.19047619047619047
13,LogReg,0.4868421052631579,0.412720427977016,-0.09615384615384603
13,RF,0.6710526315789473,0.6537269910698014,0.37827225130890063
13,SVM-linear,0.5394736842105263,0.41551307404965937,-0.007575757575757569
13,SVM-rbf,0.6710526315789473,0.6705392751864054,0.34392265193370175
14,LogReg,0.5967741935483871,0.48384948384948384,0.14553472987872107
14,RF,0.5483870967741935,0.38439716312056743,0.03662597114317423
14,SVM-linear,0.532258064516129,0.34736842105263155,0.0
14,SVM-rbf,0.532258064516129,0.34736842105263155,0.0
15,LogReg,0.725,0.725,0.4886693782684487
15,RF,0.725,0.7163120567375887,0.4384173580089342
15,SVM-linear,0.775,0.7698209718670076,0.5468848332284455
15,SVM-rbf,0.8,0.7936814958091554,0.591576260370134
16,LogReg,0.5272727272727272,0.519489247311828,0.044117647058823484
16,RF,0.8,0.7861435136090491,0.5736434108527132
16,SVM-linear,0.6909090909090909,0.6438095238095238,0.3089430894308943
16,SVM-rbf,0.5636363636363636,0.5516304347826086,0.10447761194029848
17,LogReg,0.6024096385542169,0.566133375574212,0.25992974871656305
17,RF,0.4578313253012048,0.398841139546113,-0.004302231782737254
17,SVM-linear,0.5542168674698795,0.49696969696969695,0.17821782178217815
17,SVM-rbf,0.6987951807228916,0.6986201888162672,0.40149985578309777
18,LogReg,0.6714285714285714,0.655614973262032,0.3606036536934074
18,RF,0.5571428571428572,0.49239766081871345,0.15168100078186086
18,SVM-linear,0.7142857142857143,0.7056349873843566,0.44134078212290495
18,SVM-rbf,0.7285714285714285,0.7155080213903744,0.47180301826846693
19,LogReg,0.6805555555555556,0.607861709685058,0.2553956834532374
19,RF,0.6111111111111112,0.49950347567030784,0.07352941176470584
19,SVM-linear,0.6666666666666666,0.5966386554621849,0.22857142857142865
19,SVM-rbf,0.6527777777777778,0.5604395604395604,0.17883211678832112
20,LogReg,0.7361111111111112,0.47038327526132406,0.07065217391304346
20,RF,0.5833333333333334,0.4807692307692308,-0.03846153846153855
20,SVM-linear,0.7222222222222222,0.4193548387096774,0.0
20,SVM-rbf,0.7222222222222222,0.46348733233979134,0.04255319148936154
21,LogReg,0.618421052631579,0.542263759086189,0.16133942161339432
21,RF,0.6973684210526315,0.6851017834624392,0.37302725968436157
21,SVM-linear,0.618421052631579,0.49988654413433165,0.14174454828660443
21,SVM-rbf,0.631578947368421,0.6186379928315411,0.23945675482487494
22,LogReg,0.7162162162162162,0.7157490396927016,0.45397048489107517
22,RF,0.7567567567567568,0.753880266075388,0.5166908563134978
22,SVM-linear,0.6891891891891891,0.6821661998132587,0.3700962250185048
22,SVM-rbf,0.7972972972972973,0.7954671088999448,0.5998558038932948
23,LogReg,0.6349206349206349,0.3883495145631068,-0.18285714285714305
23,RF,0.6031746031746031,0.5825602968460111,0.22451994091580507
23,SVM-linear,0.6349206349206349,0.3883495145631068,-0.18285714285714305
23,SVM-rbf,0.4444444444444444,0.38217988231997757,-0.19512195121951215
24,LogReg,0.5584415584415584,0.5577702702702703,0.12088650100738751
24,RF,0.6883116883116883,0.6869918699186992,0.3756756756756757
24,SVM-linear,0.5454545454545454,0.5376565448618974,0.07547169811320742
24,SVM-rbf,0.6233766233766234,0.6105006105006104,0.22438346648141716
25,LogReg,0.7,0.53125,0.11764705882352955
25,RF,0.6,0.5833333333333333,0.19999999999999996
25,SVM-linear,0.7,0.53125,0.11764705882352955
25,SVM-rbf,0.65,0.6266666666666667,0.27083333333333326
26,LogReg,0.56,0.3850931677018633,-0.12859097127222974
26,RF,0.6266666666666667,0.48830409356725146,0.05149051490514911
26,SVM-linear,0.6266666666666667,0.38524590163934425,-0.02639296187683282
26,SVM-rbf,0.6533333333333333,0.505578093306288,0.10220994475138123
27,LogReg,0.6081081081081081,0.5956284153005464,0.19140919366993214
27,RF,0.6351351351351351,0.6350684931506849,0.29199149539333813
27,SVM-linear,0.5540540540540541,0.5292076344707923,0.0629316960859555
27,SVM-rbf,0.5945945945945946,0.5898004434589801,0.1820191599115697
28,LogReg,0.6710526315789473,0.6705392751864054,0.3878865979381444
28,RF,0.5394736842105263,0.535533438100227,0.09028727770177836
28,SVM-linear,0.6052631578947368,0.6041666666666667,0.23438549361987904
28,SVM-rbf,0.5394736842105263,0.535533438100227,0.09028727770177836
29,LogReg,0.6285714285714286,0.6173254835996635,0.23529411764705888
29,RF,0.6142857142857143,0.6103896103896103,0.2222222222222222
29,SVM-linear,0.6285714285714286,0.5790934320074006,0.19469026548672563
29,SVM-rbf,0.7142857142857143,0.6888888888888889,0.3913043478260869
30,LogReg,0.703125,0.7024712503058479,0.43599257884972176
30,RF,0.734375,0.7327437975927291,0.4718446601941747
30,SVM-linear,0.640625,0.6362737830491723,0.3321234119782214
30,SVM-rbf,0.6875,0.6847290640394088,0.416058394160584
31,LogReg,0.7761194029850746,0.49472096530920057,0.06858202038924921
31,RF,0.5970149253731343,0.43344816786720947,-0.13274890419536622
31,SVM-linear,0.7761194029850746,0.49472096530920057,0.06858202038924921
31,SVM-rbf,0.7910447761194029,0.5031779661016949,0.09980806142034548
